dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,2.592497,2.482117,0.500000,1.000000,1.000000,1.000000,3.163547
1.000000,1.645792,2.457578,1.447025,0.894051,-0.105949,-1.105949,3.162017
1.000000,1.198803,2.452542,1.894051,0.000000,-0.894051,-0.788101,3.141593
1.000000,1.198803,2.452542,1.894051,0.000000,0.000000,0.894051,3.141593
