dt,x,y,position,velocity,acceleration,jerk,heading
1.000000,2.585249,2.812238,0.500000,1.000000,1.000000,1.000000,3.163547
1.000000,1.639049,2.787709,1.446518,0.946518,-0.053482,-1.053482,3.162017
1.000000,1.198803,2.782742,1.886791,0.440273,-0.506245,-0.452763,3.141593
1.000000,1.198803,2.782742,1.886791,0.000000,-0.440273,0.065971,3.141593
